filename,width,height,class,xmin,ymin,xmax,ymax
COLOR_POP - Copy.jpg,3072,4080,face,1153,1383,1683,2079
PXL_20220131_001533905.jpg,1836,3264,face,772,828,1172,1200
PXL_20220407_020221937.jpg,1836,3264,face,476,1342,1341,2549
PXL_20220417_025320057.PORTRAIT.jpg,2268,4032,face,816,790,1546,1703
PXL_20220417_025440485.PORTRAIT.jpg,2268,4032,face,825,886,1442,1651
PXL_20220417_025514925.PORTRAIT - Copy.jpg,2268,4032,face,812,703,1498,1559
PXL_20220425_010657295.jpg,2268,4032,face,942,1481,1325,1951
PXL_20220425_010746546.PORTRAIT.jpg,2268,4032,face,559,416,1451,1568
PXL_20220425_010901408.PORTRAIT.jpg,2268,4032,face,855,320,1585,1199
PXL_20220503_000008643.jpg,3024,4032,face,1111,894,1798,1799
PXL_20220518_190325361.jpg,3024,4032,face,1363,1294,1629,1686
PXL_20220518_190325361.jpg,3024,4032,face,2611,1183,2898,1526
PXL_20220518_190325361.jpg,3024,4032,face,803,1765,1316,2313
PXL_20220519_020123958.PORTRAIT.jpg,3024,4032,face,1259,29,2033,859
PXL_20220526_015810866.jpg,3024,4032,face,850,490,2355,2329
PXL_20220620_153837458.jpg,2448,3264,face,785,794,1372,1587
PXL_20220801_010939128.PORTRAIT.jpg,3024,4032,face,1250,316,1846,1042
PXL_20220801_010939128.PORTRAIT.jpg,3024,4032,face,963,1170,1611,1878
PXL_20220801_010939128.PORTRAIT.jpg,3024,4032,face,1707,700,2490,1452
PXL_20221101_191318441.jpg,3024,4032,face,1572,142,2203,1094
PXL_20221101_191815069.jpg,3024,4032,face,1994,33,3024,2164
PXL_20221101_191944999.jpg,3024,4032,face,663,138,2716,2555
PXL_20221101_191959810.jpg,3024,4032,face,1703,355,3024,2633
PXL_20221108_223949058.jpg,3024,4032,face,711,390,2207,2964
PXL_20221205_151136619.jpg,4080,3072,face,1549,483,3101,2409
PXL_20221211_211534236_exported_76909.jpg,3840,2160,face,1780,122,2345,800
PXL_20221211_211534236_exported_76909.jpg,3840,2160,face,985,201,1517,826
PXL_20221211_211534236_exported_76909.jpg,3840,2160,face,2617,1151,3037,1856
PXL_20221211_211534236_exported_76909.jpg,3840,2160,face,2845,386,3380,1036
PXL_20230208_190741301.jpg,2736,3648,face,387,708,1548,2104
PXL_20230208_191024087.jpg,2736,3648,face,591,397,1994,2208
PXL_20230312_055726696.jpg,3072,4080,face,1053,692,3072,3357
PXL_20230318_061316362.jpg,3072,4080,face,1027,1340,1683,2192
PXL_20230331_020611174.jpg,3648,2736,face,327,1091,853,1879
PXL_20230529_182920447.jpg,3648,2736,face,1641,874,2501,1908
PXL_20230529_182920447.jpg,3648,2736,face,2741,534,3648,1819
PXL_20230609_224245009.jpg,3072,4080,face,1244,1218,1653,1623
PXL_20230622_000217628.jpg,3072,4080,face,1135,962,2322,2392
PXL_20230622_012224238.NIGHT.jpg,3072,4080,face,870,1118,2009,2614
PXL_20230724_022144498.jpg,3072,4080,face,422,336,1657,1875
PXL_20230816_100302767.jpg,3072,4080,face,1527,1227,1835,1649
PXL_20231028_233036778.jpg,3072,4080,face,1335,940,2074,1662
PXL_20231028_233036778.jpg,3072,4080,face,2318,2049,2696,2414
PXL_20231109_040826190.jpg,3072,4080,face,783,853,2170,2597
PXL_20231115_033607293.jpg,3072,4080,face,853,992,2200,2727
PXL_20231125_052450291.jpg,3072,4080,face,770,1040,2283,2914
PXL_20231210_050838622.jpg,3072,4080,face,700,857,2522,3075
PXL_20231222_033812249.jpg,3072,4080,face,1135,618,2887,2983
PXL_20231230_043735150.jpg,3072,4080,face,644,1018,2083,3044
PXL_20240116_031959578.jpg,3072,4080,face,757,723,2448,3005
PXL_20240124_153420798.jpg,3648,2736,face,1973,1,3648,1939
PXL_20240126_042001050.NIGHT.jpg,3072,4080,face,831,983,2231,2866
PXL_20240130_034340553.jpg,3072,4080,face,766,966,2261,3010
PXL_20240201_212826601.jpg,3072,4080,face,2183,1549,2353,1762
PXL_20240201_212826601.jpg,3072,4080,face,170,1318,344,1549
PXL_20240201_212826601.jpg,3072,4080,face,466,1197,722,1510
PXL_20240201_212826601.jpg,3072,4080,face,1087,1210,1344,1575
PXL_20240201_212826601.jpg,3072,4080,face,992,1297,1118,1527
PXL_20240307_164925492.jpg,4080,3072,face,730,1545,1162,2077
PXL_20240307_164925492.jpg,4080,3072,face,3301,2287,4080,3072
PXL_20240307_164925492.jpg,4080,3072,face,2723,1464,3291,2180
PXL_20240307_164925492.jpg,4080,3072,face,1543,1351,2110,1977
PXL_20240307_164925492.jpg,4080,3072,face,201,1819,801,2383
PXL_20240322_020025605.RAW-01.COVER.jpg,3072,4080,face,835,953,2309,2857
PXL_20240328_130744878.RAW-01.COVER.jpg,2736,3648,face,591,247,2425,2701
PXL_20240411_020021655.RAW-01.COVER.jpg,3072,4080,face,831,983,2192,2801
PXL_20240502_035907294.RAW-01.COVER.jpg,3072,4080,face,874,1323,1905,2775
PXL_20240516_124912197.RAW-01.COVER.jpg,3072,4080,face,1,1,2861,3588
PXL_20240610_175059885.RAW-01.COVER.jpg,4080,3072,face,649,700,1298,1542
PXL_20240610_175059885.RAW-01.COVER.jpg,4080,3072,face,2607,1053,3252,1876
PXL_20240618_010754824.RAW-01.COVER.jpg,3072,4080,face,992,1457,2183,3023
