filename,width,height,class,xmin,ymin,xmax,ymax
WIN_20240207_15_31_07_Pro.jpg,1280,720,redobject,535,166,765,450
WIN_20240207_15_31_27_Pro.jpg,1280,720,redobject,669,269,896,546
WIN_20240207_15_31_30_Pro.jpg,1280,720,redobject,528,155,759,435
WIN_20240207_15_31_33_Pro.jpg,1280,720,redobject,435,276,659,566
WIN_20240207_15_31_37_Pro.jpg,1280,720,redobject,572,301,784,558
WIN_20240207_15_32_13_Pro.jpg,1280,720,redobject,642,260,874,546
WIN_20240207_15_32_16_Pro.jpg,1280,720,redobject,653,290,895,570
WIN_20240207_15_32_22_Pro.jpg,1280,720,redobject,578,265,797,528
WIN_20240207_15_32_27_Pro.jpg,1280,720,redobject,610,335,812,589
WIN_20240207_15_32_47_Pro.jpg,1280,720,redobject,741,269,990,559
WIN_20240207_15_32_56_Pro.jpg,1280,720,redobject,623,230,832,477
WIN_20240207_15_33_00_Pro.jpg,1280,720,redobject,645,260,839,493
WIN_20240207_15_33_04_Pro.jpg,1280,720,redobject,632,329,847,594
WIN_20240207_15_34_07_Pro.jpg,1280,720,redobject,640,255,876,532
WIN_20240207_15_34_14_Pro.jpg,1280,720,redobject,648,272,905,574
WIN_20240207_15_34_18_Pro.jpg,1280,720,redobject,405,296,656,599
WIN_20240207_15_34_23_Pro.jpg,1280,720,redobject,615,333,857,630
WIN_20240207_15_34_35_Pro.jpg,1280,720,redobject,605,343,832,623
WIN_20240207_15_34_48_Pro.jpg,1280,720,redobject,569,210,820,521
WIN_20240207_15_34_57_Pro.jpg,1280,720,redobject,518,359,784,678
WIN_20240207_15_35_03_Pro.jpg,1280,720,redobject,597,298,864,625
WIN_20240207_15_35_09_Pro.jpg,1280,720,redobject,396,340,681,678
WIN_20240207_15_41_43_Pro.jpg,1280,720,redobject,493,98,785,453
WIN_20240207_15_41_58_Pro.jpg,1280,720,redobject,492,192,817,588
WIN_20240207_15_42_18_Pro.jpg,1280,720,redobject,512,194,794,537
WIN_20240207_15_45_26_Pro.jpg,1280,720,redobject,653,192,924,509
WIN_20240207_15_45_38_Pro.jpg,1280,720,redobject,449,230,753,581
WIN_20240207_15_46_00_Pro.jpg,1280,720,redobject,470,252,764,605
WIN_20240207_15_50_38_Pro.jpg,1280,720,redobject,643,223,904,533
WIN_20240207_15_50_45_Pro.jpg,1280,720,redobject,320,166,531,413
WIN_20240207_15_50_49_Pro.jpg,1280,720,redobject,378,373,565,593
WIN_20240207_15_50_56_Pro.jpg,1280,720,redobject,783,346,1031,620
WIN_20240207_15_51_09_Pro.jpg,1280,720,redobject,801,259,1050,513
WIN_20240207_15_51_16_Pro.jpg,1280,720,redobject,531,257,794,586
WIN_20240207_15_51_26_Pro.jpg,1280,720,redobject,365,320,564,550
WIN_20240207_15_51_36_Pro.jpg,1280,720,redobject,515,488,682,690
WIN_20240207_15_51_46_Pro.jpg,1280,720,redobject,560,200,745,414
WIN_20240207_15_51_50_Pro.jpg,1280,720,redobject,545,305,739,537
WIN_20240207_15_52_03_Pro.jpg,1280,720,redobject,483,126,640,318
WIN_20240207_15_52_13_Pro.jpg,1280,720,redobject,765,224,982,457
WIN_20240207_15_52_16_Pro.jpg,1280,720,redobject,617,361,801,575
WIN_20240207_15_52_25_Pro.jpg,1280,720,redobject,630,408,828,646
WIN_20240207_15_53_27_Pro.jpg,1280,720,redobject,875,200,1116,478
WIN_20240207_15_53_32_Pro.jpg,1280,720,redobject,498,270,722,524
WIN_20240207_15_53_42_Pro.jpg,1280,720,redobject,679,202,843,405
WIN_20240207_15_53_49_Pro.jpg,1280,720,redobject,588,221,752,408
WIN_20240207_15_53_59_Pro.jpg,1280,720,redobject,730,284,931,511
WIN_20240207_15_54_19_Pro.jpg,1280,720,redobject,539,299,772,575
WIN_20240207_15_54_32_Pro.jpg,1280,720,redobject,353,441,523,628
WIN_20240207_15_54_38_Pro.jpg,1280,720,redobject,765,200,916,380
WIN_20240207_15_54_43_Pro.jpg,1280,720,redobject,694,234,847,406
WIN_20240207_15_54_47_Pro.jpg,1280,720,redobject,401,493,582,701
WIN_20240207_15_54_58_Pro.jpg,1280,720,redobject,600,347,799,575
WIN_20240207_15_55_02_Pro.jpg,1280,720,redobject,463,391,682,637
WIN_20240207_16_15_29_Pro.jpg,1280,720,redobject,500,213,818,590
WIN_20240207_16_15_32_Pro.jpg,1280,720,redobject,621,212,952,575
WIN_20240207_16_15_41_Pro.jpg,1280,720,redobject,175,314,469,660
WIN_20240207_16_16_01_Pro.jpg,1280,720,redobject,325,457,611,720
WIN_20240207_16_16_19_Pro.jpg,1280,720,redobject,510,99,818,469
WIN_20240207_16_16_22_Pro.jpg,1280,720,redobject,379,251,663,575
WIN_20240207_16_16_29_Pro.jpg,1280,720,redobject,351,99,621,413
WIN_20240207_16_16_40_Pro.jpg,1280,720,redobject,107,395,385,700
WIN_20240207_16_16_44_Pro.jpg,1280,720,redobject,372,333,605,606
WIN_20240207_16_17_03_Pro.jpg,1280,720,redobject,611,130,934,521
WIN_20240207_16_17_10_Pro.jpg,1280,720,redobject,412,284,758,647
WIN_20240207_16_17_14_Pro.jpg,1280,720,redobject,328,274,644,650
WIN_20240207_16_17_34_Pro.jpg,1280,720,redobject,313,62,666,446
WIN_20240207_16_17_41_Pro.jpg,1280,720,redobject,588,310,895,658
WIN_20240207_16_17_47_Pro.jpg,1280,720,redobject,552,83,872,472
WIN_20240207_16_18_00_Pro.jpg,1280,720,redobject,401,368,738,720
WIN_20240207_16_18_06_Pro.jpg,1280,720,redobject,329,211,617,550
WIN_20240207_16_18_13_Pro.jpg,1280,720,redobject,383,166,688,531
WIN_20240207_16_18_20_Pro.jpg,1280,720,redobject,409,78,747,521
WIN_20240207_16_18_26_Pro.jpg,1280,720,redobject,395,224,723,620
WIN_20240207_16_18_32_Pro.jpg,1280,720,redobject,144,95,478,492
